,species_name,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
91,Zamiopteris   minor,113.055,36.961999999999996,-251,-247,92.23,32.78
92,Ammatopsis   mira,110.537,19.178,-251,-247,104.85,3.65
93,Taeniopteris   mironervis,110.493,19.122,-251,-247,104.85,3.58
94,Thinnfeldia   monopinnata,113.23,37.608000000000004,-251,-247,92.6,33.36
95,Tricranolepis   obtusiloba,111.09,36.411,-251,-247,90.25,32.67
96,Leuthardtia   ovalis,110.538,19.179000000000002,-251,-247,104.85,3.65
97,Squamocarpus   papilioformis,104.37700000000001,25.836,-251,-247,96.26,5.51
98,Hallea   pekinensis,116.194,39.97,-298,-201,89.47,22.28
99,Glossotheca   petiolata,113.055,36.961999999999996,-251,-247,92.23,32.78
100,Masculostrobus?   prolatus,110.48,19.121,-251,-247,104.84,3.57
101,Gangamopteris   qinshuiensis,113.055,36.961999999999996,-251,-247,92.23,32.78
102,Voltzia   quinquepetala,112.96799999999999,37.07,-251,-247,92.18,32.9
103,Drepanozamites   schizophylla,82.959,41.716,-251,-247,76.55,35.48
104,Glossopteris   shanxiensis,113.055,36.961999999999996,-251,-247,92.23,32.78
105,Palaeovittaria   shanxiensis,113.055,36.961999999999996,-251,-247,92.23,32.78
106,Nilssonia   simplex,116.194,39.97,-251,-201,95.09,43.07
107,Sphenobaiera   spectabilis,119.14,31.646,-251,-247,102.76,18.18
108,Aethophyllum   stipulare,119.613,40.887,-251,-247,99.42,35.22
109,Ginkgoites   tetralobus,119.14,31.646,-251,-247,102.76,18.18
110,Gangamopteris?   tuncunensis,113.055,36.961999999999996,-251,-247,92.23,32.78
111,Crematopteris   typica,119.613,40.887,-251,-247,99.42,35.22
112,Yuccites   vogesiacus,119.613,40.887,-251,-247,99.42,35.22
113,Voltzia   weismanni,110.537,19.1789,-251,-247,104.85,3.65
114,Carpolithus   yamasidai,104.214,26.484,-259,-251,96.74,-11.42
115,Cardiocarpus   yuccinoides,113.055,36.961,-251,-247,92.23,32.78
116,Cardiocarpus   yuccinoides,113.235,37.532,-251,-247,92.58,33.29
117,Compsopteris   zhonghuaensis,82.959,41.716,-251,-247,76.55,35.48
