,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
129,Pteridophyta,Filicopsida,O,Dicksoniaceae,Eboracia,Eboracia uniforma,120.979,41.612,-163,-145,124.19,42.85,7
130,Gymnospermae,Coniferopsida,O,Taxodiaceae,Elatides,Elatides manchurensis,130.476,44.826,-163,-145,134.55,46.59,7
131,Gymnospermae,Coniferopsida,O,Taxodiaceae,Elatides,Elatides asiatica,131,45.334,-163,-145,135.1,47.1,7
132,Gymnospermae,Coniferopsida,O,Taxodiaceae,Elatides,Elatides manchurensis,130.516,44.916,-163,-145,134.6,46.68,7
133,Gymnospermae,Coniferopsida,O,Taxodiaceae,Elatides,Elatides manchurensis,131.176,44.03,-163,-145,135.27,45.79,7
134,Gymnospermae,Coniferopsida,O,F,Elatocladus,Elatocladus pinnatus,120.853,41.668,-163,-145,124.06,42.91,6
135,Gymnospermae,Coniferopsida,O,F,Elatocladus,Elatocladus submanchurica,110.004,41.034,-163,-100,111.77,41.74,6
136,Gymnospermae,Coniferopsida,O,F,Elatocladus,Elatocladus leptophyllus,120.829,41.612,-163,-145,124.03,42.85,5
137,Gymnospermae,Coniferopsida,O,F,Elatocladus,Elatocladus liaoxiensis,120.853,41.668,-163,-145,124.06,42.91,5
138,Gymnospermae,Coniferopsida,O,F,Elatocladus,Elatocladus manchurica,123.831,45.025,-163,-145,127.69,46.81,7
139,Gymnospermae,Coniferopsida,Coniferales,F,Eoglyptostrobus,Eoglyptostrobus sabioides,119.394,42.243,-163,-145,122.58,43.5,6
140,Pteridophyta,Gnetinae,O,F,Ephedrites,Ephedrites elegans,123.423,41.833,-163,-145,126.68,43.05,6
141,Pteridophyta,Gnetinae,O,F,Ephedrites,Ephedrites guozhongiana,123.423,41.833,-163,-145,126.68,43.05,6
142,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.burchardti,131.433,45.367,-163,-145,135.55,47.13,7
143,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.virginicus,120.849,37.016,-163,-145,123.99,38.26,7
144,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites exiliformis,120.836,41.614,-163,-145,124.04,42.86,7
145,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites longevaginatus,120.836,41.614,-163,-145,124.04,42.86,7
146,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites rugosus,118.694,41.016,-163,-145,121.85,42.28,6
147,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites linearis,120.973,41.611,-163,-145,124.18,42.85,6
148,Pteridophyta,Sphenopsida,Equisetales,F,Equisetum,Equisetum naktongense,123.245,48.361,-163,-145,127.1,50.15,6
149,Pteridophyta,Sphenopsida,Equisetales,F,Equisetum,Equisetum ushimarense,130.799,45.378,-163,-145,134.89,47.14,6
150,Pteridophyta,Monocotyledoneae,O,Gramineae,Eragrosites,Eragrosites changii,120.978,41.612,-163,-145,124.19,42.85,7
151,Pteridophyta,Monocotyledoneae,O,Gramineae,Eragrosites,Eragrosites chenii,120.968,41.61,-163,-145,124.18,42.85,6
152,Angiospermae,C,O,F,Erenia,Erenia stenoptera,120.836,41.615,-163,-145,124.04,42.86,6
153,Gymnospermae,Coniferopsida,O,Cheirolepidiaceae,Frenelopsis,Frenelopsis cf.ramosissima,121.549,28.852,-163,-145,125.28,31.85,7
154,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo sp.,125.269,42.792,-163,-145,128.58,44,6
155,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo pusilla,111.974,43.641,-163,-100,114.02,44.89,6
156,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo apodes,121.233,41.53,-163,-145,124.44,42.77,7
157,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo cf.orientalis,126.543,43.835,-163,-145,129.9,45.03,6
158,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo digitata,117.652,49.324,-163,-145,121.29,51.11,6
159,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo digitata,119.586,45.427,-163,-100,121.66,46.98,6
160,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo digitata,120.765,41.798,-163,-145,123.97,43.04,6
161,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo huttoni,119.267,42.035,-163,-145,122.45,43.29,6
162,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo manchurica,119.267,42.035,-163,-145,122.45,43.29,7
163,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo pluripartita,126.645,51.724,-163,-100,128.39,53.54,6
164,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo sibirica,111.974,43.641,-163,-100,114.02,44.89,6
165,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo sibirica,121.664,42.019,-163,-100,123.53,43.09,6
166,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo sibirica,124.985,43.642,-163,-100,126.82,44.81,6
167,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo sibirica,127.479,45.756,-163,-100,129.77,47.61,6
168,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo sibirica,131.67,45.599,-163,-145,135.79,47.36,7
169,Gymnospermae,C,Ginkgoales,F,Ginkgodium,Ginkgodium nathorsti,115.092,40.606,-163,-145,118.17,41.89,7
170,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites fuxinensis,121.664,42.019,-163,-145,124.89,43.26,6
171,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites cf.lepidus,111.974,43.641,-163,-100,114.02,44.89,6
172,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites cf.sibiricus,120.781,37.046,-163,-145,123.92,38.29,6
173,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites chilinensis,125.499,44.289,-163,-145,129.41,46.07,6
174,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites crassinervis,125.833,44.149,-163,-145,129.76,45.93,6
175,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites sibiricus,119.586,45.427,-163,-100,121.66,46.98,6
176,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites sibiricus,132.698,45.622,-163,-145,136.86,47.37,6
177,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites truncata,121.664,42.019,-163,-145,124.89,43.26,6
178,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites wulungensis,121.664,42.019,-163,-145,124.89,43.26,6
179,Pteridophyta,Filicopsida,O,Gleicheniaceae,Gleichenites,Gleichenites nipponensis,121.559,28.855,-163,-145,125.29,31.85,6
180,Pteridophyta,Filicopsida,O,Gleicheniaceae,Gleichenites,Gleichenites nordenskioldi,132.055,45.868,-163,-145,136.2,47.62,6
181,Pteridophyta,Filicopsida,O,Gleicheniaceae,Gleichenites,Gleichenites brevipennatus,124.072,41.85,-163,-145,127.34,43.06,6
182,Pteridophyta,Filicopsida,O,Dicksoniaceae,Gonatosorus,Gonatosorus ketova,131.447,45.375,-163,-145,135.56,47.13,7
183,Angiospermae,C,O,F,Gurvanella,Gurvanella exquisites,123.423,41.833,-163,-145,126.68,43.05,6
184,Pteridophyta,Filicopsida,O,Dicksoniaceae,Gymnogrammitites,Gymnogrammitites ruffordioides,120.84,41.62,-163,-145,124.05,42.86,6
185,Gymnospermae,Cycadopsida,Cycadales,F,Heilungia,Heilungia amurensis,117.662,49.509,-163,-145,121.3,51.29,6
186,Pteridophyta,Filicopsida,O,Hymenophyllacae,Hymenophyllites,Hymenophyllites amplus,130.811,45.385,-163,-145,134.9,47.15,6
187,Gymnospermae,C,Czekanowskiales,F,Ixostrobus,Ixostrobus delicatus,120.031,41.259,-163,-145,123.22,42.51,6
188,Gymnospermae,C,Czekanowskiales,F,Ixostrobus,Ixostrobus heeri,121.678,45.365,-163,-145,125.47,47.15,6
189,Pteridophyta,Filicopsida,O,Schizaeaceae,Klukia,Klukia browniana,120.029,27.884,-163,-100,123.5,30.35,6
190,Gymnospermae,C,Czekanowskiales,F,Leptostrobus,Leptostrobus sinensis,123.4,41.8,-163,-145,126.68,43.05,6
191,Gymnospermae,C,Czekanowskiales,F,Leptostrobus,Leptostrobus sphaericus,117.753,41.936,-163,-145,120.9,43.2,7
192,Gymnospermae,Coniferopsida,O,F,Liaoningocladus,Liaoningocladus boii,123.423,41.833,-163,-145,126.68,43.05,7
193,Pteridophyta,Monocotyledoneae,Gnetales,Cyperaceae,Liaoxia,Liaoxia chenii,120.978,41.612,-163,-145,124.19,42.85,7
194,Pteridophyta,Monocotyledoneae,O,Liliaceae,Lilites,Lilites reheensis,120.836,41.615,-163,-145,124.04,42.86,7
195,Gymnospermae,Coniferopsida,O,F,Lindleycladus,Lindleycladus lanceolatus,119.642,45.523,-163,-100,121.71,47.08,7
196,Gymnospermae,Coniferopsida,O,F,Lindleycladus,Lindleycladus lanceolatus,123.423,41.833,-163,-145,126.68,43.05,7
197,Gymnospermae,Coniferopsida,O,F,Lindleycladus,Lindleycladus lanceolatus,128.945,42.508,-163,-145,132.32,43.67,7
198,Pteridophyta,Lycopsida,Lycopodiales,F,Lycopodites,Lycopodites faustus,120.836,41.614,-163,-145,124.04,42.86,7
199,Pteridophyta,Pteridospermopsida,O,F,Macrotaeniopteris,Macrotaeniopteris cf.californica,117.662,49.509,-163,-145,121.3,51.29,7
200,Gymnospermae,Cycadopsida,Cycadales,F,Membranifolia,Membranifolia admirabilis,119.395,41.243,-163,-145,122.57,42.5,6
201,Pteridophyta,Hepaticae,O,F,Metzgerites,Metzgerites multiramea,120.836,41.614,-163,-145,124.04,42.86,6
202,Pteridophyta,Musci,O,F,Muscites,Muscites drepanophyllus,120.836,41.614,-163,-145,124.04,42.86,6
203,Pteridophyta,Musci,O,F,Muscites,Muscites meteorioides,120.836,41.614,-163,-145,124.04,42.86,6
204,Pteridophyta,Musci,O,F,Muscites,Muscites tenellus,120.836,41.614,-163,-145,124.04,42.86,7
205,Gymnospermae,Cycadopsida,Bennettiales,F,Neozamites,Neozamites verchojanensis,125.866,44.155,-163,-145,129.79,45.94,7
206,Gymnospermae,Cycadopsida,Bennettiales,F,Neozamites,Neozamites verchojanensis?,120.831,41.613,-163,-145,124.04,42.86,7
207,Gymnospermae,Cycadopsida,Nilssoniales,F,Nilssonia,Nilssonia angustissima,131.72,45.624,-163,-145,135.85,47.38,7
208,Gymnospermae,Cycadopsida,Nilssoniales,F,Nilssonia,Nilssonia cf.jacutica,130.169,43.342,-163,-145,133.59,44.49,6
209,Gymnospermae,Cycadopsida,Nilssoniales,F,Nilssonia,Nilssonia cf.schaumburgensis,132.313,45.883,-163,-145,136.46,47.64,6
210,Gymnospermae,Cycadopsida,Nilssoniales,F,Nilssonia,Nilssonia cf.schaumburgensis,115.014,26.973,-163,-145,119.52,28.37,6
211,Gymnospermae,Cycadopsida,Nilssoniales,F,Nilssonia,Nilssonia helmerseniana,130.796,46.055,-163,-145,134.9,47.82,6
