,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
43,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites amdrupiana,101.382,27.037,-237,-201,96.76,35.89,7
44,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.amdrupiana,105.345,26.089,-237,-201,101.15,35.05,7
45,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.amdrupiana,120.859,31.711,-237,-201,118.38,40.65,7
46,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,111.634,31.063,-237,-201,108.03,40.1,6
47,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,125.925,43.396,-237,-201,130.4,51.74,7
48,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,100.851,27.286,-237,-201,82.77,30.35,7
49,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.hartzii,106.697,30.124,-237,-201,102.53,39.11,7
50,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.inconstans,95.613,33.854,-237,-201,75.03,34.93,7
51,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.loczyi,117.562,25.403,-237,-201,114.55,34.41,7
52,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.loczyi,99.797,28.934,-237,-201,81.1,31.58,7
53,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,116.42,30.423,-237,-201,113.38,39.44,4
54,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,116.557,25.274,-237,-201,113.45,34.29,7
55,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,117.562,25.403,-237,-201,114.55,34.41,7
56,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,105.468,32.312,-237,-201,101.09,41.27,7
57,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,105.345,26.089,-237,-201,101.15,35.05,7
58,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,114.989,27.117,-237,-201,111.75,36.15,7
59,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,116.42,30.423,-237,-201,113.38,39.44,7
60,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,117.562,25.403,-237,-201,114.55,34.41,7
61,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,101.717,26.586,-237,-201,97.15,35.45,7
62,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.nitida,117.562,25.403,-237,-201,114.55,34.41,7
63,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.paucinervis,96.359,32.964,-237,-201,76.12,34.32,7
64,Gymnospermae,Cycadopsida,Cycadales,F,Anomozamites,Anomozamites chaoi,105.855,32.493,-237,-174,107.71,42.02,7
65,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites chaoi,113.048,25.215,-237,-201,109.61,34.25,7
66,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites densinervis,101.717,26.586,-237,-201,97.15,35.45,7
67,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites giganteus,117.562,25.403,-237,-201,114.55,34.41,7
68,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites inconstans,113.638,28.167,-237,-201,110.26,37.21,7
69,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites inconstans,117.562,25.403,-237,-201,114.55,34.41,7
