,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude,era
41,Angiospermae,Dicotyledoneae,,Dicksoniaceae,Coniopteris,Coniopteris arctica,134.047,47.426,-145,-100,136.21,50.2,6
42,Angiospermae,Dicotyledoneae,,Dicksoniaceae,Coniopteris,Coniopteris hunangjiabaoensis,114.7,40.888,-145,-100,116.59,41.9,6
43,Angiospermae,Dicotyledoneae,,Taxodiaceae,Cunninhamia  ,Cunninhamia   asiatica ,119.282,42.036,-145,-100,121.12,43.32,6
44,Angiospermae,Dicotyledoneae,,Taxodiaceae,Cunninhamia  ,Cunninhamia   asiatica ,123.539,42.439,-145,-100,125.41,43.97,6
45,Angiospermae,Dicotyledoneae,,,Czekanowskia,Czekanowskia  setacea,119.512,41.65,-145,-100,121.39,42.95,6
46,Angiospermae,Dicotyledoneae,,,Czekanowskia,Czekanowskia  setacea,130.297,47.111,-145,-100,132.32,49.66,6
47,Angiospermae,Monocotyledoneae,,,Czekanowskia,Czekanowskia  setacea,123.423,41.833,-145,-100,125.36,43.36,6
48,Angiospermae,Dicotyledoneae,,Dicksoniaceae,Dicksonia,Dicksonia arctica,117.669,49.51,-145,-100,118.82,51.21,6
49,Angiospermae,Dicotyledoneae,,Dicksoniaceae,Dicksonia,Dicksonia arctica,119.76,49.223,-145,-100,121.03,51.07,6
50,Angiospermae,Dicotyledoneae,,Dicksoniaceae,Dicksonia,Dicksonia arctica,120.579,49.242,-145,-100,121.87,51.14,6
51,Angiospermae,Dicotyledoneae,,Dicksoniaceae,Dicksonia,Dicksonia arctica,120.585,49.248,-145,-100,121.87,51.15,6
52,Angiospermae,Dicotyledoneae,,Dicksoniaceae,Dicksonia,Dicksonia arctica,123.471,48.124,-145,-100,125.05,50.23,6
53,Angiospermae,Dicotyledoneae,,Dicksoniaceae,Dicksonia,Dicksonia arctica,123.552,42.447,-145,-100,125.43,43.98,6
54,Angiospermae,Dicotyledoneae,,Taxodiaceae,Elatides ,Elatides  araucarioides ,109.985,41.012,-145,-100,111.82,41.73,6
55,Angiospermae,Dicotyledoneae,,Taxodiaceae,Elatides ,Elatides  asiatica ,130.584,45.753,-145,-100,132.8,48.32,6
56,Angiospermae,Dicotyledoneae,,Taxodiaceae,Elatides ,Elatides  asiatica ,131.116,44.084,-145,-100,133.57,46.69,6
57,Angiospermae,Dicotyledoneae,,,Elatocladus ,Elatocladus  angustifolius ,124.626,40.826,-145,-100,126.7,42.42,6
58,Angiospermae,Dicotyledoneae,,,Elatocladus ,Elatocladus  angustifolius ,131.386,46.583,-145,-100,133.53,49.2,6
59,Angiospermae,Dicotyledoneae,,,Ginkgo,Ginkgo crassinervis,125.9,44.156,-145,-100,128.14,46.44,6
60,Angiospermae,Dicotyledoneae,,,Ginkgo ,Ginkgo  adiantoides ,119.771,48.53,-145,-100,121.15,50.38,6
61,Angiospermae,Dicotyledoneae,,,Ginkgo ,Ginkgo  apodes,121.233,41.53,-145,-100,123.16,42.93,6
62,Angiospermae,Dicotyledoneae,,,Ginkgo ,Ginkgo  adiantoides ,124.906,43.578,-145,-100,126.69,45.18,6
63,Angiospermae,Dicotyledoneae,,,Ginkgo ,Ginkgo  adiantoides ,127.479,45.756,-145,-100,129.56,48.13,6
64,Angiospermae,Dicotyledoneae,,,Ginkgo ,Ginkgo  adiantoides ,128.052,45.769,-145,-100,130.16,48.18,6
65,Angiospermae,Dicotyledoneae,,,Ginkgo ,Ginkgo  adiantoides ,131.1,46.596,-145,-100,133.23,49.2,6
66,Angiospermae,Dicotyledoneae,,,Ginkgoites ,Ginkgoites  adiantoides,131.838,45.527,-145,-100,134.14,48.18,6
67,Angiospermae,Dicotyledoneae,,,Jacutiella,Jacutiella amurensis,127.437,50.228,-145,-100,128.84,52.58,6
68,Angiospermae,Dicotyledoneae,,,Lhassoxylon ,Lhassoxylon  aptianum ,91.261,29.895,-145,-100,88.82,13.77,6
69,Angiospermae,Dicotyledoneae,,Podocarpaceae,Nageiopsis ,Nageiopsis  angustifolia ,109.826,40.915,-145,-100,111.67,41.62,6
70,Angiospermae,Dicotyledoneae,,,Nilssonia,Nilssonia angustissima,121.671,41.999,-145,-100,123.55,43.42,6
71,Angiospermae,Dicotyledoneae,,,Nilssonia,Nilssonia angustissima,131.004,45.335,-145,-100,133.3,47.93,6
72,Angiospermae,Dicotyledoneae,,,Nilssoniopteris,Nilssoniopteris aniana,127.291,43.568,-145,-100,129.13,45.31,6
73,Angiospermae,Dicotyledoneae,,,Pagiophyllum ,Pagiophyllum  ambiguum ,130.997,45.768,-145,-100,133.23,48.36,6
74,Angiospermae,Dicotyledoneae,,,Phoenicopsis ,Phoenicopsis  angustifolia,109.739,39.566,-145,-100,111.72,40.27,6
75,Angiospermae,Dicotyledoneae,,,Phoenicopsis ,Phoenicopsis  angustifolia,116.639,41.207,-145,-100,118.52,42.33,6
76,Angiospermae,Dicotyledoneae,,,Phoenicopsis ,Phoenicopsis  angustifolia,118.641,41.384,-145,-100,120.54,42.63,6
77,Angiospermae,Dicotyledoneae,,,Phoenicopsis ,Phoenicopsis  angustifolia,119.512,41.65,-145,-100,121.39,42.95,6
78,Angiospermae,Dicotyledoneae,,,Phoenicopsis ,Phoenicopsis  angustifolia,120.573,49.24,-145,-100,121.86,51.14,6
79,Angiospermae,Dicotyledoneae,,,Phoenicopsis ,Phoenicopsis  angustifolia,121.048,49.071,-145,-100,122.38,51,6
80,Angiospermae,Dicotyledoneae,,,Phoenicopsis ,Phoenicopsis  angustifolia,123.536,42.445,-145,-100,125.41,43.98,6
81,Angiospermae,Dicotyledoneae,,,Phoenicopsis ,Phoenicopsis  angustifolia,126.9,43.669,-145,-100,128.72,45.39,6
82,Angiospermae,Dicotyledoneae,,Platanaceae,Platanus,Platanus appendiculata,125.336,46.415,-145,-100,127.24,48.65,6
83,Angiospermae,Dicotyledoneae,,,Podozamites,Podozamites  lanceolatus,120.821,37.01,-145,-100,123.19,38.4,6
84,Angiospermae,Dicotyledoneae,,,Podozamites,Podozamites  eichwaldii,124.319,40.053,-145,-100,126.46,41.64,6
85,Angiospermae,Dicotyledoneae,,,Podozamites,Podozamites olenekensis,121.65,42.011,-145,-100,123.53,43.43,6
86,Angiospermae,Dicotyledoneae,,,Podozamites,Podozamites latifolius,124.141,42.842,-145,-100,125.99,44.41,6
87,Angiospermae,Dicotyledoneae,,,Podozamites ,Podozamites  angustifolius,117.68,49.466,-145,-100,118.84,51.16,6
88,Angiospermae,Dicotyledoneae,,,Podozamites ,Podozamites  angustifolius,119.585,45.286,-145,-100,121.46,47.14,6
89,Angiospermae,Dicotyledoneae,,,Podozamites ,Podozamites  angustifolius,120.573,49.24,-145,-100,121.86,51.14,6
90,Angiospermae,Dicotyledoneae,,,Podozamites ,Podozamites  angustifolius,123.593,42.433,-145,-100,125.47,43.97,6
91,Angiospermae,Dicotyledoneae,,,Pterophyllum,Pterophyllum aff. burejense,119.586,45.429,-145,-100,121.44,47.28,6
92,Angiospermae,Dicotyledoneae,,,Pterophyllum,Pterophyllum aff. burejense,121.671,41.999,-145,-100,123.55,43.42,6
93,Angiospermae,Dicotyledoneae,,,Pterophyllum,Pterophyllum angustum,131.117,44.084,-145,-100,135.21,45.85,6
94,Angiospermae,Dicotyledoneae,,,Pterophyllum,Pterophyllum angustifolium,125.137,42.885,-145,-100,127,44.51,6
95,Angiospermae,Dicotyledoneae,,,Ptilophyllum,Ptilophyllum acutifolium,86.969,28.397,-145,-100,49.81,-46.36,6
96,Angiospermae,Dicotyledoneae,,Protiaceae,Rogersia,Rogersia angustifolia,129.509,42.891,-145,-100,131.49,44.76,6
97,Angiospermae,,,,Ruffordia,Ruffordia goepperti,117.365,25.941,-145,-100,122.34,28.05,6
